lat,lon,local_sla_trend,class
30.42,18.79,0.92,class_3
30.43,18.79,0.82,class_3
30.43,18.8,0.51,class_3
30.44,18.8,0.59,class_3
30.45,18.8,1.93,class_3
30.45,18.81,0.66,class_3
30.46,18.81,1.38,class_3
30.47,18.81,2.05,class_3
30.47,18.82,2.68,class_4
30.48,18.82,2.06,class_3
30.49,18.83,1.77,class_3
30.5,18.83,2.21,class_3
30.51,18.84,2.11,class_3
30.52,18.84,2.84,class_4
30.53,18.85,2.16,class_3
30.54,18.85,2.24,class_3
30.54,18.86,0.69,class_3
30.55,18.86,2.62,class_4
31.23,33.39,1.79,class_3
31.23,33.4,2.34,class_4
31.24,33.4,1.86,class_3
31.25,33.4,3.23,class_4
31.25,33.41,1.7,class_3
31.26,33.41,2.08,class_3
31.27,33.41,2.55,class_4
31.27,33.42,2.44,class_4
31.28,33.42,1.69,class_3
31.29,33.42,2.06,class_3
31.29,33.43,1.98,class_3
31.3,33.43,2.11,class_3
31.31,33.44,1.65,class_3
31.32,33.44,1.8,class_3
31.32,33.45,3.61,class_4
31.33,33.45,1.75,class_3
31.34,33.45,2.22,class_3
31.34,33.46,2.43,class_4
31.35,33.46,1.77,class_3
31.5,31.66,3.94,class_4
31.51,31.65,2.33,class_4
31.51,31.66,2.5,class_4
31.52,31.65,2.57,class_4
31.53,31.64,1.74,class_3
31.53,31.65,2.58,class_4
31.54,31.64,2.69,class_4
31.55,30.73,1.86,class_3
31.55,31.63,2.75,class_4
31.55,31.64,2.33,class_4
31.56,30.74,1.0,class_3
31.56,31.63,2.37,class_4
31.57,30.74,0.84,class_3
31.57,30.75,2.93,class_4
31.57,31.62,2.25,class_3
31.57,31.63,2.82,class_4
31.58,30.75,2.22,class_3
31.58,31.62,2.61,class_4
31.59,30.75,2.44,class_4
31.59,30.76,2.53,class_4
31.59,31.61,2.54,class_4
31.6,30.76,2.93,class_4
31.6,31.6,2.59,class_4
31.6,31.61,3.01,class_4
31.61,30.76,3.05,class_4
31.61,30.77,1.89,class_3
31.61,31.6,2.86,class_4
31.61,34.43,2.48,class_4
31.61,34.44,1.9,class_3
31.62,30.77,2.02,class_3
31.62,31.59,2.27,class_3
31.62,31.6,2.61,class_4
31.62,34.43,2.12,class_3
31.63,30.77,1.88,class_3
31.63,30.78,2.2,class_3
31.63,31.59,2.55,class_4
31.63,34.42,1.95,class_3
31.63,34.43,1.64,class_3
31.64,30.78,2.38,class_4
31.64,34.42,2.0,class_3
31.65,30.79,2.8,class_4
31.65,34.41,2.75,class_4
31.65,34.42,1.68,class_3
31.66,30.79,3.12,class_4
31.66,34.41,2.9,class_4
31.67,30.8,2.07,class_3
31.67,34.4,2.1,class_3
31.67,34.41,1.91,class_3
31.68,30.8,2.85,class_4
31.68,30.81,2.17,class_3
31.68,34.4,2.14,class_3
31.69,34.39,2.59,class_4
31.7,34.38,2.54,class_4
31.7,34.39,3.12,class_4
31.71,34.38,2.13,class_3
31.72,34.37,2.66,class_4
31.72,34.38,2.64,class_4
31.73,34.37,2.37,class_4
32.1,19.99,-1.12,class_2
32.11,19.99,1.2,class_3
32.12,19.98,1.62,class_3
32.13,19.98,2.4,class_4
32.14,19.97,2.26,class_3
32.15,19.97,2.69,class_4
32.16,19.96,3.35,class_4
32.17,19.95,3.51,class_4
32.17,19.96,3.03,class_4
32.18,19.95,2.87,class_4
32.19,19.94,3.26,class_4
32.19,19.95,2.4,class_4
32.2,19.94,3.01,class_4
32.21,19.93,3.09,class_4
32.21,19.94,2.97,class_4
32.22,19.93,2.54,class_4
32.81,13.93,2.44,class_4
32.82,13.92,1.09,class_3
32.82,13.93,-1.45,class_2
32.83,13.92,3.35,class_4
32.84,13.91,1.97,class_3
32.85,13.91,1.75,class_3
32.86,13.9,2.05,class_3
32.87,13.89,3.34,class_4
32.87,13.9,2.87,class_4
32.87,22.4,3.26,class_4
32.88,13.89,3.13,class_4
32.88,22.39,2.86,class_4
32.88,22.4,2.15,class_3
32.89,13.88,2.4,class_4
32.89,13.89,3.11,class_4
32.89,22.39,3.24,class_4
32.9,13.88,3.26,class_4
32.9,22.38,1.43,class_3
32.91,13.87,2.66,class_4
